Departamento	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Total	1,811	2,008	2,781	3,510	3,169	3,528	3,187	2,693	3,150	3,796
Guatemala  	107	150	610	885	861	987	866	822	1,016	1,391
El Progreso	85	85	102	98	80	101	77	74	82	90
Sacatepéquez	83	90	65	112	67	88	70	58	81	86
Chimaltenango	115	139	112	136	121	127	89	88	95	85
Escuintla	97	138	247	364	312	240	267	229	252	290
Santa Rosa	84	85	75	87	79	100	124	119	107	135
Sololá	18	35	53	86	52	62	51	62	68	59
Totonicapán	42	39	51	60	42	49	22	30	50	38
Quetzaltenango	141	143	148	165	169	224	192	153	173	191
Suchitepéquez	132	108	170	221	200	216	134	126	139	163
Retalhuleu	84	84	83	100	95	116	91	59	68	87
San Marcos	169	127	130	156	127	140	114	94	91	128
Huehuetenango	92	134	122	117	117	117	107	76	92	111
Quiché	109	72	99	106	92	135	92	78	88	95
Baja Verapaz	56	42	55	73	57	50	59	30	34	67
Alta Verapaz	125	124	95	90	99	134	148	73	109	109
Petén	10	69	157	106	134	126	210	133	129	118
Izabal	26	90	73	122	84	129	115	77	111	135
Zacapa	70	43	96	140	131	138	102	71	107	142
Chiquimula	87	67	88	112	85	89	102	75	99	104
Jalapa	16	52	57	56	65	57	58	70	57	63
Jutiapa	63	92	93	118	100	103	97	96	102	109
